"Município";"id_orgao";"Órgão";"Categoria da Receita";"Origem da Receita";"2012";"2013";"2014"
"Mogi Guaçu";"";"Feg-Fundação Educacional Guaçuana";"Receitas Correntes";"Receita Patrimonial";"59.300,98";"54.986,88";"81.531,80"
"Mogi Guaçu";"";"Hospital Municipal Dr. Tabajara Ramos";"Receitas Correntes";"Outras Receitas Correntes";"65.942,62";"1.423,91";"3.710,70"
"Mogi Guaçu";"";"Hospital Municipal Dr. Tabajara Ramos";"Receitas Correntes";"Receita de Serviços";"8.955.116,87";"8.137.917,69";"7.856.053,82"
"Mogi Guaçu";"";"Hospital Municipal Dr. Tabajara Ramos";"Receitas Correntes";"Receita Patrimonial";"46.871,16";"29.864,58";"64.075,44"
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas Correntes";"Outras Receitas Correntes";"11.079.972,66";"16.934.071,09";"32.648.727,05"
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas Correntes";"Receita de Contribuições";"3.339.395,72";"3.630.181,29";"3.657.903,88"
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas Correntes";"Receita Patrimonial";"308.328,27";"716.522,45";"1.455.541,44"
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas Correntes";"Receita Tributária";"46.973.987,30";"50.008.459,26";"53.782.533,25"
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas Correntes";"Transferências Correntes";"214.533.097,07";"239.739.831,79";"264.988.285,15"
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas de Capital";"Alienação de Bens";"2.249,33";"37.100,00";""
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas de Capital";"Amortização de Empréstimos";"125.397,80";"8.062,29";"296.713,59"
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas de Capital";"Operações de Crédito";"";"488.955,75";""
"Mogi Guaçu";"";"Prefeitura Municipal De Mogi Guaçu";"Receitas de Capital";"Transferências de Capital";"2.067.691,34";"4.032.103,83";"4.688.803,16"
"Mogi Guaçu";"";"Samae-Serviço Auton. Água E Esgoto";"Receitas Correntes";"Outras Receitas Correntes";"3.495.561,69";"4.130.502,66";"5.151.538,47"
"Mogi Guaçu";"";"Samae-Serviço Auton. Água E Esgoto";"Receitas Correntes";"Receita de Serviços";"24.937.269,06";"26.044.205,39";"28.547.002,75"
"Mogi Guaçu";"";"Samae-Serviço Auton. Água E Esgoto";"Receitas Correntes";"Receita Patrimonial";"89.246,35";"225.402,08";"617.415,11"
"Mogi Guaçu";"";"Samae-Serviço Auton. Água E Esgoto";"Receitas de Capital";"Outras Receitas de Capital";"";"376.004,88";""
"Mogi Mirim";"";"Serviço Autônomo De Água E Esgotos De Mogi Mirim";"Receitas Correntes";"Receita Patrimonial";"243.130,73";"182.663,23";"328.993,70"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas Correntes";"Outras Receitas Correntes";"9.209.425,53";"16.803.739,42";"13.878.892,66"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas Correntes";"Receita de Contribuições";"";"";"966.978,12"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas Correntes";"Receita de Serviços";"274.268,55";"117.093,64";"294.881,51"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas Correntes";"Receita Patrimonial";"1.028.430,09";"888.254,05";"810.943,83"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas Correntes";"Receita Tributária";"51.737.743,27";"65.358.355,29";"66.773.173,85"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas Correntes";"Transferências Correntes";"145.900.895,08";"164.371.075,77";"177.122.960,18"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas de Capital";"Alienação de Bens";"151.128,06";"";""
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas de Capital";"Operações de Crédito";"6.789.425,64";"1.816.644,97";"2.307.492,50"
"Mogi Mirim";"";"Prefeitura Municipal De Mogi Mirim";"Receitas de Capital";"Transferências de Capital";"862.307,51";"4.963.679,99";"2.973.966,95"
"Mogi Mirim";"";"Serviço Autônomo De Água E Esgotos De Mogi Mirim";"Receitas Correntes";"Outras Receitas Correntes";"3.869.671,82";"2.709.834,61";"2.692.269,81"
"Mogi Mirim";"";"Serviço Autônomo De Água E Esgotos De Mogi Mirim";"Receitas Correntes";"Receita de Serviços";"21.128.280,42";"26.087.775,68";"27.431.103,91"
"Mogi Mirim";"";"Serviço Autônomo De Água E Esgotos De Mogi Mirim";"Receitas de Capital";"Alienação de Bens";"";"29.813,10";"106.037,00"
"Mogi Mirim";"";"Serviço Autônomo De Água E Esgotos De Mogi Mirim";"Receitas de Capital";"Operações de Crédito";"5.083,20";"";""
"Mogi Mirim";"";"Serviço Autônomo De Água E Esgotos De Mogi Mirim";"Receitas de Capital";"Transferências de Capital";"358.001,57";"784.099,13";"561.034,80"
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas Correntes";"Receita de Serviços";"1.025,00";"13.155,00";"3.635,00"
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas Correntes";"Receita Patrimonial";"41.934,92";"66.002,21";"167.467,07"
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas Correntes";"Receita Tributária";"616.862,47";"741.449,22";"944.418,85"
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas Correntes";"Transferências Correntes";"10.365.270,35";"11.705.879,46";"12.190.865,02"
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas de Capital";"Alienação de Bens";"650,00";"790,00";"34.435,00"
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas de Capital";"Outras Receitas de Capital";"2.453,50";"";""
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas de Capital";"Transferências de Capital";"1.086.043,68";"826.750,83";"3.206.390,26"
"Mombuca";"";"Prefeitura Municipal De Mombuca";"Receitas Correntes";"Outras Receitas Correntes";"148.349,40";"661.498,70";"679.069,62"
"Monções";"";"Prefeitura Municipal De Monções";"Receitas de Capital";"Transferências de Capital";"922.064,09";"1.484.422,40";"1.764.008,71"
"Monções";"";"Serviço De Previdência Municipal";"Receitas Correntes";"Receita de Contribuições";"1.157.240,09";"1.430.903,92";"1.588.066,93"
"Monções";"";"Serviço De Previdência Municipal";"Receitas Correntes";"Outras Receitas Correntes";"752.649,69";"369.537,65";"379.096,74"
"Monções";"";"Prefeitura Municipal De Monções";"Receitas Correntes";"Outras Receitas Correntes";"189.577,19";"242.110,41";"142.798,92"
"Monções";"";"Prefeitura Municipal De Monções";"Receitas Correntes";"Receita de Serviços";"360,00";"685,00";"1.299,04"
"Monções";"";"Prefeitura Municipal De Monções";"Receitas Correntes";"Receita Patrimonial";"78.583,77";"134.361,07";"176.851,94"
"Monções";"";"Prefeitura Municipal De Monções";"Receitas Correntes";"Receita Tributária";"1.538.506,60";"1.377.237,60";"1.038.078,51"
"Monções";"";"Prefeitura Municipal De Monções";"Receitas Correntes";"Transferências Correntes";"11.871.979,53";"12.645.917,89";"11.613.753,68"
"Monções";"";"Prefeitura Municipal De Monções";"Receitas de Capital";"Alienação de Bens";"";"211.050,00";"76.750,00"
"Monções";"";"Serviço De Previdência Municipal";"Receitas Correntes";"Receita Patrimonial";"625.935,51";"-425.108,71";"677.875,64"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas de Capital";"Operações de Crédito";"10.600.232,77";"3.842.012,37";""
"Mongaguá";"";"Empresa Municipal De Saúde - Emus";"Receitas Correntes";"Receita de Serviços";"16.053,32";"1.868,44";"55.355,00"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas Correntes";"Receita Agropecuária";"";"1.154,30";""
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas Correntes";"Outras Receitas Correntes";"12.785.503,89";"12.094.956,86";"13.259.938,04"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas Correntes";"Receita de Serviços";"803.656,71";"776.120,01";"602.504,93"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas Correntes";"Receita Patrimonial";"1.078.634,63";"1.435.776,64";"3.095.878,24"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas Correntes";"Receita Tributária";"42.396.952,78";"50.807.868,64";"60.489.156,51"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas Correntes";"Transferências Correntes";"69.902.750,10";"79.918.943,07";"87.531.849,51"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas de Capital";"Alienação de Bens";"";"244.750,00";"12.028,97"
"Mongaguá";"";"Prefeitura Municipal De Mongaguá";"Receitas de Capital";"Transferências de Capital";"11.698.163,89";"4.700.911,10";"12.276.399,08"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas de Capital";"Transferências de Capital";"4.937.262,87";"1.959.655,32";"4.210.827,43"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas Correntes";"Outras Receitas Correntes";"741.917,61";"712.094,19";"522.196,09"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas Correntes";"Receita de Contribuições";"";"";"260.130,77"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas Correntes";"Receita de Serviços";"872.396,11";"970.027,33";"1.019.191,33"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas Correntes";"Receita Patrimonial";"184.177,43";"125.482,75";"204.782,26"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas Correntes";"Receita Tributária";"2.392.439,06";"3.098.536,72";"3.363.870,97"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas Correntes";"Transferências Correntes";"13.515.113,26";"15.465.814,92";"15.973.389,17"
"Monte Alegre do Sul";"";"Prefeitura Municipal De Monte Alegre Do Sul";"Receitas de Capital";"Alienação de Bens";"";"";"62.800,00"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas de Capital";"Alienação de Bens";"43.944,52";"181.985,86";"54.413,03"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas Correntes";"Outras Receitas Correntes";"3.658.856,45";"4.858.430,97";"3.070.118,94"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas Correntes";"Receita de Contribuições";"531.188,45";"604.029,43";"530.781,98"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas Correntes";"Receita de Serviços";"321.609,70";"334.012,10";"308.185,90"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas Correntes";"Receita Patrimonial";"597.687,90";"545.344,94";"1.160.895,17"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas Correntes";"Receita Tributária";"15.032.920,74";"16.707.498,12";"17.939.362,43"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas Correntes";"Transferências Correntes";"69.622.334,84";"76.521.634,84";"81.271.659,66"
"Monte Alto";"";"Prefeitura Municipal De Monte Alto";"Receitas de Capital";"Transferências de Capital";"6.579.894,49";"2.967.245,59";"7.092.998,25"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas de Capital";"Alienação de Bens";"130.050,00";"150.150,00";"50.050,00"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas Correntes";"Outras Receitas Correntes";"388.796,49";"437.229,76";"1.165.489,76"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas Correntes";"Receita de Contribuições";"491.750,30";"480.167,89";"549.169,09"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas Correntes";"Receita de Serviços";"16.425,14";"24.703,02";"28.409,32"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas Correntes";"Receita Patrimonial";"198.431,80";"226.897,11";"344.725,45"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas Correntes";"Receita Tributária";"5.519.012,03";"5.241.996,64";"5.291.629,07"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas Correntes";"Transferências Correntes";"35.090.337,43";"39.890.702,82";"40.753.349,27"
"Monte Aprazível";"";"Prefeitura Municipal De Monte Aprazível";"Receitas de Capital";"Transferências de Capital";"433.274,99";"1.161.976,92";"1.690.152,00"
"Monte Azul Paulista";"";"Prefeitura Municipal De Monte Azul Paulista";"Receitas de Capital";"Alienação de Bens";"29.650,00";"7.560,00";"172.225,00"
"Monte Azul Paulista";"";"Prefeitura Municipal De Monte Azul Paulista";"Receitas Correntes";"Outras Receitas Correntes";"2.811.560,48";"1.814.800,02";"1.186.349,30"
"Monte Azul Paulista";"";"Prefeitura Municipal De Monte Azul Paulista";"Receitas Correntes";"Receita de Contribuições";"151.945,07";"164.914,37";"137.608,02"
"Monte Azul Paulista";"";"Prefeitura Municipal De Monte Azul Paulista";"Receitas Correntes";"Receita Patrimonial";"207.156,16";"357.976,82";"547.305,43"
"Monte Azul Paulista";"";"Prefeitura Municipal De Monte Azul Paulista";"Receitas Correntes";"Receita Tributária";"4.367.300,02";"5.267.769,22";"6.533.151,85"
"Monte Azul Paulista";"";"Prefeitura Municipal De Monte Azul Paulista";"Receitas Correntes";"Transferências Correntes";"30.299.811,28";"34.464.372,43";"35.692.837,87"
"Monte Azul Paulista";"";"Prefeitura Municipal De Monte Azul Paulista";"Receitas de Capital";"Transferências de Capital";"2.349.997,34";"2.053.888,01";"3.255.196,65"
"Monte Azul Paulista";"";"Saemap";"Receitas Correntes";"Outras Receitas Correntes";"385.361,06";"493.585,11";"376.831,14"
"Monte Azul Paulista";"";"Saemap";"Receitas Correntes";"Receita de Serviços";"1.849.258,00";"2.149.707,34";"2.473.417,25"
"Monte Azul Paulista";"";"Saemap";"Receitas Correntes";"Receita Patrimonial";"3.414,01";"9.159,40";"9.914,06"
"Monte Azul Paulista";"";"Saemap";"Receitas Correntes";"Receita Tributária";"414.408,31";"669.158,80";"728.440,82"
"Monte Castelo";"";"Instituto De Previdência De Monte Castelo";"Receitas Correntes";"Outras Receitas Correntes";"46.126,96";"252.647,24";"32.614,95"
"Monte Castelo";"";"Instituto De Previdência De Monte Castelo";"Receitas Correntes";"Receita de Contribuições";"1.691.014,53";"1.858.979,20";"2.005.112,26"
"Monte Castelo";"";"Instituto De Previdência De Monte Castelo";"Receitas Correntes";"Receita Patrimonial";"368.091,44";"214.361,03";"466.355,49"
"Monte Castelo";"";"Prefeitura Municipal De Monte Castelo";"Receitas Correntes";"Outras Receitas Correntes";"218.853,96";"262.804,31";"211.571,48"
"Monte Castelo";"";"Prefeitura Municipal De Monte Castelo";"Receitas Correntes";"Receita de Contribuições";"44.711,84";"46.798,91";"49.400,66"
"Monte Castelo";"";"Prefeitura Municipal De Monte Castelo";"Receitas Correntes";"Receita de Serviços";"181.982,47";"200.111,03";"259.610,28"
"Monte Castelo";"";"Prefeitura Municipal De Monte Castelo";"Receitas Correntes";"Receita Patrimonial";"237.529,53";"303.180,88";"377.599,05"
"Monte Castelo";"";"Prefeitura Municipal De Monte Castelo";"Receitas Correntes";"Receita Tributária";"633.867,61";"579.674,77";"810.565,19"
"Monte Castelo";"";"Prefeitura Municipal De Monte Castelo";"Receitas Correntes";"Transferências Correntes";"10.337.861,27";"11.547.558,74";"12.162.283,39"
"Monte Castelo";"";"Prefeitura Municipal De Monte Castelo";"Receitas de Capital";"Transferências de Capital";"974.691,27";"2.360.659,15";"1.044.822,16"
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas de Capital";"Operações de Crédito";"950.400,00";"598.000,00";""
"Monte Mor";"";"Instituto De Previdência Municipal De Monte Mor";"Receitas Correntes";"Outras Receitas Correntes";"299.824,21";"650.583,62";"284.921,53"
"Monte Mor";"";"Instituto De Previdência Municipal De Monte Mor";"Receitas Correntes";"Receita de Contribuições";"8.505.544,72";"14.007.228,50";"12.183.243,38"
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas de Capital";"Transferências de Capital";"";"";"150.000,00"
"Monte Mor";"";"Instituto De Previdência Municipal De Monte Mor";"Receitas Correntes";"Receita Patrimonial";"3.714.684,19";"-264.234,73";"4.127.190,79"
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas Correntes";"Outras Receitas Correntes";"3.842.647,10";"5.194.257,89";"5.282.934,53"
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas Correntes";"Receita de Serviços";"200.284,27";"237.834,47";""
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas Correntes";"Receita Patrimonial";"690.471,69";"936.609,66";"980.882,49"
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas Correntes";"Receita Tributária";"19.520.255,08";"23.176.543,19";"24.713.591,85"
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas Correntes";"Transferências Correntes";"99.534.365,09";"104.303.016,43";"127.315.775,39"
"Monte Mor";"";"Prefeitura Municipal De Monte Mor";"Receitas de Capital";"Alienação de Bens";"";"21.401,80";""
"Monteiro Lobato";"";"Prefeitura Municipal De Monteiro Lobato";"Receitas Correntes";"Receita Patrimonial";"138.577,78";"117.620,01";"155.561,16"
"Monteiro Lobato";"";"Prefeitura Municipal De Monteiro Lobato";"Receitas Correntes";"Receita Tributária";"1.071.277,29";"775.625,38";"835.691,94"
"Monteiro Lobato";"";"Prefeitura Municipal De Monteiro Lobato";"Receitas de Capital";"Transferências de Capital";"910.618,84";"470.420,00";"614.407,47"
"Monteiro Lobato";"";"Prefeitura Municipal De Monteiro Lobato";"Receitas Correntes";"Outras Receitas Correntes";"139.403,87";"447.850,03";"193.180,46"
"Monteiro Lobato";"";"Prefeitura Municipal De Monteiro Lobato";"Receitas Correntes";"Transferências Correntes";"10.054.219,51";"11.436.373,33";"13.034.604,66"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas Correntes";"Receita Tributária";"10.789.351,21";"12.031.914,30";"12.180.066,81"
"Morro Agudo";"";"Instituto De Previdênica Municipal De Morro Agudo";"Receitas Correntes";"Outras Receitas Correntes";"107.693,44";"269.487,97";"68.221,33"
"Morro Agudo";"";"Instituto De Previdênica Municipal De Morro Agudo";"Receitas Correntes";"Receita de Contribuições";"4.117.812,58";"5.757.263,35";"5.270.041,21"
"Morro Agudo";"";"Instituto De Previdênica Municipal De Morro Agudo";"Receitas Correntes";"Receita Patrimonial";"1.354.410,61";"1.425.296,01";"1.925.413,08"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas Correntes";"Outras Receitas Correntes";"2.237.287,07";"2.858.896,82";"1.497.181,26"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas Correntes";"Receita de Contribuições";"661.037,56";"878.589,64";"912.752,84"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas Correntes";"Receita de Serviços";"1.324.788,14";"1.304.463,22";"1.320.854,21"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas Correntes";"Receita Patrimonial";"235.184,01";"214.943,19";"419.338,94"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas Correntes";"Transferências Correntes";"63.070.022,81";"69.226.959,24";"71.742.515,01"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas de Capital";"Alienação de Bens";"34.680,00";"";"237.257,00"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas de Capital";"Outras Receitas de Capital";"";"";"836.000,00"
"Morro Agudo";"";"Prefeitura Municipal De Morro Agudo";"Receitas de Capital";"Transferências de Capital";"1.915.117,25";"2.005.192,71";"3.743.813,77"
"Morungaba";"";"Prefeitura Municipal De Morungaba";"Receitas de Capital";"Transferências de Capital";"5.619.352,90";"1.658.028,71";"2.876.482,38"
"Morungaba";"";"Prefeitura Municipal De Morungaba";"Receitas Correntes";"Outras Receitas Correntes";"2.175.054,14";"1.110.326,09";"1.455.582,72"
"Morungaba";"";"Prefeitura Municipal De Morungaba";"Receitas Correntes";"Receita Patrimonial";"185.681,62";"267.686,06";"508.079,17"
"Morungaba";"";"Prefeitura Municipal De Morungaba";"Receitas Correntes";"Receita Tributária";"2.863.429,83";"3.475.654,42";"3.998.993,77"
"Morungaba";"";"Prefeitura Municipal De Morungaba";"Receitas Correntes";"Transferências Correntes";"21.400.122,35";"25.293.164,77";"26.041.650,60"
"Morungaba";"";"Prefeitura Municipal De Morungaba";"Receitas de Capital";"Alienação de Bens";"28.553,81";"34.338,42";"74.195,97"
"Morungaba";"";"Prefeitura Municipal De Morungaba";"Receitas de Capital";"Operações de Crédito";"199.000,00";"";"960.000,00"
"Motuca";"";"Prefeitura Municipal De Motuca";"Receitas de Capital";"Alienação de Bens";"";"61.113,27";"84.005,00"
"Motuca";"";"Prefeitura Municipal De Motuca";"Receitas Correntes";"Outras Receitas Correntes";"554.044,58";"337.648,43";"149.609,84"
"Motuca";"";"Prefeitura Municipal De Motuca";"Receitas Correntes";"Receita de Serviços";"159.769,05";"187.494,82";"197.076,48"
"Motuca";"";"Prefeitura Municipal De Motuca";"Receitas Correntes";"Receita Patrimonial";"86.234,26";"63.050,04";"118.217,09"
"Motuca";"";"Prefeitura Municipal De Motuca";"Receitas Correntes";"Receita Tributária";"849.033,77";"862.457,83";"786.685,40"
"Motuca";"";"Prefeitura Municipal De Motuca";"Receitas Correntes";"Transferências Correntes";"12.379.315,90";"14.007.349,24";"14.902.285,50"
"Motuca";"";"Prefeitura Municipal De Motuca";"Receitas de Capital";"Transferências de Capital";"661.431,61";"1.373.412,15";"1.190.736,11"
"Murutinga do Sul";"";"Prefeitura Municipal De Murutinga Do Sul";"Receitas de Capital";"Alienação de Bens";"58.000,00";"38.850,00";"164.700,00"
"Murutinga do Sul";"";"Prefeitura Municipal De Murutinga Do Sul";"Receitas Correntes";"Outras Receitas Correntes";"143.717,96";"284.537,98";"272.547,15"
"Murutinga do Sul";"";"Prefeitura Municipal De Murutinga Do Sul";"Receitas Correntes";"Receita de Serviços";"303.820,25";"325.445,80";"338.108,11"
"Murutinga do Sul";"";"Prefeitura Municipal De Murutinga Do Sul";"Receitas Correntes";"Receita Patrimonial";"48.671,87";"48.934,68";"127.439,61"
"Murutinga do Sul";"";"Prefeitura Municipal De Murutinga Do Sul";"Receitas Correntes";"Receita Tributária";"782.609,05";"954.619,97";"963.465,86"
"Murutinga do Sul";"";"Prefeitura Municipal De Murutinga Do Sul";"Receitas Correntes";"Transferências Correntes";"10.230.327,05";"12.264.505,94";"12.514.711,41"
"Murutinga do Sul";"";"Prefeitura Municipal De Murutinga Do Sul";"Receitas de Capital";"Transferências de Capital";"713.077,81";"201.128,62";"2.069.651,82"
"Nantes";"";"Prefeitura Municipal De Nantes";"Receitas Correntes";"Receita Patrimonial";"49.801,66";"59.201,39";"183.676,93"
"Nantes";"";"Prefeitura Municipal De Nantes";"Receitas Correntes";"Outras Receitas Correntes";"159.296,88";"191.285,92";"173.854,56"
"Nantes";"";"Prefeitura Municipal De Nantes";"Receitas Correntes";"Receita de Serviços";"54.879,11";"60.797,93";"98.819,97"
"Nantes";"";"Prefeitura Municipal De Nantes";"Receitas Correntes";"Receita Tributária";"365.970,18";"593.744,57";"490.945,07"
"Nantes";"";"Prefeitura Municipal De Nantes";"Receitas Correntes";"Transferências Correntes";"11.553.124,07";"12.822.117,24";"13.596.682,50"
"Nantes";"";"Prefeitura Municipal De Nantes";"Receitas de Capital";"Transferências de Capital";"784.396,32";"310.398,47";"2.283.204,56"
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas de Capital";"Transferências de Capital";"1.759.400,94";"1.223.748,20";"795.885,03"
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas Correntes";"Outras Receitas Correntes";"141.445,27";"206.926,61";"166.339,05"
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas Correntes";"Receita de Contribuições";"40.000,00";"23.246,67";""
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas Correntes";"Receita Patrimonial";"93.429,46";"114.178,38";"155.262,75"
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas Correntes";"Receita Tributária";"830.790,27";"1.588.139,89";"1.421.023,94"
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas Correntes";"Transferências Correntes";"19.593.188,60";"22.064.507,34";"20.228.867,68"
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas de Capital";"Alienação de Bens";"297.996,58";"384.281,82";"609.009,96"
"Narandiba";"";"Prefeitura Municipal De Narandiba";"Receitas de Capital";"Outras Receitas de Capital";"17.101,32";"121.669,88";""
"Natividade da Serra";"";"Prefeitura Municipal De Natividade Da Serra";"Receitas de Capital";"Alienação de Bens";"";"";"36.745,60"
"Natividade da Serra";"";"Prefeitura Municipal De Natividade Da Serra";"Receitas Correntes";"Outras Receitas Correntes";"878.561,18";"932.462,07";"131.227,62"
"Natividade da Serra";"";"Prefeitura Municipal De Natividade Da Serra";"Receitas Correntes";"Receita de Serviços";"";"";"36.905,00"
"Natividade da Serra";"";"Prefeitura Municipal De Natividade Da Serra";"Receitas Correntes";"Receita Patrimonial";"43.889,44";"89.850,66";"162.512,42"
"Natividade da Serra";"";"Prefeitura Municipal De Natividade Da Serra";"Receitas Correntes";"Receita Tributária";"977.683,33";"880.212,60";"939.590,15"
"Natividade da Serra";"";"Prefeitura Municipal De Natividade Da Serra";"Receitas Correntes";"Transferências Correntes";"15.760.663,94";"17.048.705,40";"20.150.432,56"
"Natividade da Serra";"";"Prefeitura Municipal De Natividade Da Serra";"Receitas de Capital";"Transferências de Capital";"1.155.835,05";"1.059.762,54";"271.998,71"
"Nazaré Paulista";"";"Prefeitura Municipal De Nazaré Paulista";"Receitas Correntes";"Transferências Correntes";"21.461.771,10";"24.407.049,98";"29.502.489,29"
"Nazaré Paulista";"";"Prefeitura Municipal De Nazaré Paulista";"Receitas Correntes";"Outras Receitas Correntes";"3.889.922,28";"886.653,81";"1.031.782,53"
"Nazaré Paulista";"";"Prefeitura Municipal De Nazaré Paulista";"Receitas Correntes";"Receita de Serviços";"3.111,79";"1.700,00";"4.735,00"
"Nazaré Paulista";"";"Prefeitura Municipal De Nazaré Paulista";"Receitas Correntes";"Receita Patrimonial";"223.490,85";"554.865,69";"392.942,79"
"Nazaré Paulista";"";"Prefeitura Municipal De Nazaré Paulista";"Receitas de Capital";"Transferências de Capital";"1.524.593,63";"1.366.015,34";"2.163.411,55"
"Nazaré Paulista";"";"Prefeitura Municipal De Nazaré Paulista";"Receitas Correntes";"Receita Tributária";"6.251.030,10";"7.280.395,26";"9.191.829,00"
"Nazaré Paulista";"";"Prefeitura Municipal De Nazaré Paulista";"Receitas de Capital";"Alienação de Bens";"8.250,00";"31.770,00";"17.876,00"
"Neves Paulista";"";"Prefeitura Municipal De Neves Paulista";"Receitas Correntes";"Receita de Contribuições";"261.154,83";"239.801,71";"221.639,28"
"Neves Paulista";"";"Fundo Municipal De Seguridade Social - Neves Paulista";"Receitas Correntes";"Outras Receitas Correntes";"145.917,62";"172.311,98";"73.087,29"
"Neves Paulista";"";"Fundo Municipal De Seguridade Social - Neves Paulista";"Receitas Correntes";"Receita de Contribuições";"1.040.198,25";"1.281.057,51";"1.398.445,93"
